Governance Category,Control,Regulation,Corresponding Rule,Measure,Measure Data
Corporate Oversight,AI Transparency,California AI Laws | Colorado AI Act | EU AI Act | ISO/IEC 42001 | Illinois AI Laws | NIST AI RMF | NIST GenAI Profile | Texas TRAIGA | Utah AI Policy Act | Washington SB 5827,"California AI Laws -> CA-001: Providers of AI systems with over 1 million monthly users shall implement a latent disclosure mechanism enabling detection of AI-generated or AI-modified content. || California AI Laws -> CA-002: Providers of generative AI systems shall provide users with a tool to detect whether image, video, or audio content was generated or substantially modified by AI. || California AI Laws -> CA-003: Providers of generative AI systems shall publish information about the provenance of training data used to develop the AI system including sources and collection methods. || Colorado AI Act -> CO-007: Deployers shall provide notice to consumers before deploying a high-risk AI system to make a consequential decision including purpose, nature of decision, and contact information. || Colorado AI Act -> CO-009: Developers shall make available documentation sufficient to enable deployers to understand intended uses, known limitations, and measures to manage algorithmic discrimination. || Colorado AI Act -> CO-010: Developers shall publish a website statement summarising types of high-risk AI systems developed and measures taken to manage algorithmic discrimination. || EU AI Act -> EU-014: Human oversight measures shall enable oversight persons to be aware of the possible tendency of automatically relying on or over-relying on the AI system output. || EU AI Act -> EU-025: High-risk AI systems shall be sufficiently transparent to enable deployers to interpret the system's output and use it appropriately. || EU AI Act -> EU-026: High-risk AI systems shall be accompanied by instructions for use including identity of provider, intended purpose, accuracy level, and known risk circumstances. || EU AI Act -> EU-039: AI systems deploying subliminal, manipulative, or deceptive techniques to distort behaviour and impair informed decision-making shall not be placed on the market. || EU AI Act -> EU-042: Providers and deployers of AI systems that interact with natural persons shall inform those persons they are interacting with an AI system unless obvious from context. || EU AI Act -> EU-043: Providers of AI systems generating synthetic audio, image, video, or text shall mark outputs in a machine-readable format detectable as AI-generated. || ISO/IEC 42001 -> ISO-016: Processes for transparency and explainability appropriate to context, impact, and regulatory requirements shall be established. || Illinois AI Laws -> IL-001: Employers using AI to analyse video interviews shall notify applicants that AI will be used, explain what it evaluates, and obtain consent before use. || NIST AI RMF -> NIST-024: Explainability and interpretability shall be evaluated as appropriate to the AI system's risk classification and use context. || NIST GenAI Profile -> NIST-G01: Organizations shall implement measures to detect and mitigate confabulation (hallucination) risks from generative AI including factual accuracy verification processes. || NIST GenAI Profile -> NIST-G04: Organizations shall implement controls to detect, prevent, and respond to generation of hateful, harassing, violent, or discriminatory content from generative AI systems. || NIST GenAI Profile -> NIST-G07: Organizations shall assess and mitigate risks of homogenisation of AI outputs and potential over-reliance on generative AI for decision-making. || NIST GenAI Profile -> NIST-G08: Organizations shall implement controls for responsible disclosure of AI-generated content including synthetic media watermarking and provenance tracking. || Texas TRAIGA -> TX-002: State agencies deploying AI systems for consequential decisions shall disclose to affected individuals that AI was used in the decision-making process. || Utah AI Policy Act -> UT-001: Entities using generative AI to interact with consumers shall provide clear and conspicuous disclosure of AI involvement when directly asked or in high-risk interactions. || Washington SB 5827 -> WA-002: Covered entities shall publish clear notice to individuals subject to decisions made by automated decision systems about the existence and nature of the system.","ai.transparency.disclosure_rate: latest(ai.transparency.disclosure_rate, window=realtime) lte ?",ai.transparency.disclosure_rate
Corporate Oversight,Roles and Resources,Colorado AI Act | EU AI Act | ISO/IEC 42001 | NIST AI RMF | Texas TRAIGA,"Colorado AI Act -> CO-011: Deployers shall implement and maintain a governance program including ongoing testing for algorithmic discrimination, reporting mechanisms, and staff training. || EU AI Act -> EU-021: Providers shall put in place a documented quality management system ensuring compliance with this Regulation. || EU AI Act -> EU-028: Deployers shall assign human oversight to natural persons with the necessary competence, training, authority, and support. || ISO/IEC 42001 -> ISO-001: The organisation shall establish, implement, maintain, and continually improve an AI management system. || ISO/IEC 42001 -> ISO-004: Responsibilities and authorities for relevant roles shall be assigned and communicated within the organisation for AI risk management. || ISO/IEC 42001 -> ISO-009: The organisation shall determine and provide resources needed for the establishment, implementation, maintenance, and improvement of the AI management system. || ISO/IEC 42001 -> ISO-011: Documented information as evidence of competence shall be maintained for persons working on AI systems. || ISO/IEC 42001 -> ISO-018: Human oversight mechanisms appropriate to the significance of the AI system's potential impacts shall be established. || NIST AI RMF -> NIST-001: Organizations shall establish policies, processes, procedures, and practices across the organization related to the mapping, measuring, and managing of AI risks. || NIST AI RMF -> NIST-003: Organizational leaders shall take responsibility for decisions about risks associated with AI system development and deployment. || NIST AI RMF -> NIST-010: Organizational teams shall be committed to developing processes enabling staff to raise AI risk concerns without fear of retaliation. || NIST AI RMF -> NIST-012: Roles, responsibilities, and lines of communication related to AI risk management shall be clearly defined, documented, and maintained. || NIST AI RMF -> NIST-013: Organizational teams shall be committed to diversity, equity, inclusion, and accessibility in AI processes and outcomes. || NIST AI RMF -> NIST-019: Practices and personnel for regular engagement with relevant AI actors shall be in place to identify, evaluate, and manage AI risks and impacts. || Texas TRAIGA -> TX-003: State agencies shall ensure AI systems used for consequential decisions are subject to human oversight including the ability to review and override AI recommendations.","ai.governance.role_fill_rate: latest(ai.governance.role_fill_rate, window=realtime) lte ?",ai.governance.role_fill_rate
Corporate Oversight,Consumer Interaction Disclosure,California AI Laws | Colorado AI Act | EU AI Act | Illinois AI Laws | NIST GenAI Profile | Texas TRAIGA | Utah AI Policy Act | Washington SB 5827,"California AI Laws -> CA-002: Providers of generative AI systems shall provide users with a tool to detect whether image, video, or audio content was generated or substantially modified by AI. || Colorado AI Act -> CO-007: Deployers shall provide notice to consumers before deploying a high-risk AI system to make a consequential decision including purpose, nature of decision, and contact information. || Colorado AI Act -> CO-008: Deployers shall provide consumers with an opportunity to correct information used in a consequential decision and to appeal the decision to a human being. || EU AI Act -> EU-042: Providers and deployers of AI systems that interact with natural persons shall inform those persons they are interacting with an AI system unless obvious from context. || Illinois AI Laws -> IL-001: Employers using AI to analyse video interviews shall notify applicants that AI will be used, explain what it evaluates, and obtain consent before use. || NIST GenAI Profile -> NIST-G07: Organizations shall assess and mitigate risks of homogenisation of AI outputs and potential over-reliance on generative AI for decision-making. || NIST GenAI Profile -> NIST-G08: Organizations shall implement controls for responsible disclosure of AI-generated content including synthetic media watermarking and provenance tracking. || Texas TRAIGA -> TX-002: State agencies deploying AI systems for consequential decisions shall disclose to affected individuals that AI was used in the decision-making process. || Utah AI Policy Act -> UT-001: Entities using generative AI to interact with consumers shall provide clear and conspicuous disclosure of AI involvement when directly asked or in high-risk interactions. || Washington SB 5827 -> WA-002: Covered entities shall publish clear notice to individuals subject to decisions made by automated decision systems about the existence and nature of the system.","ai.disclosure.consumer_rate: latest(ai.disclosure.consumer_rate, window=realtime) lte ?",ai.disclosure.consumer_rate
Corporate Oversight,Internal Audit,Colorado AI Act | EU AI Act | ISO/IEC 42001 | NIST AI RMF,"Colorado AI Act -> CO-006: Deployers shall make impact assessments available to the Colorado Attorney General upon request. || Colorado AI Act -> CO-011: Deployers shall implement and maintain a governance program including ongoing testing for algorithmic discrimination, reporting mechanisms, and staff training. || EU AI Act -> EU-021: Providers shall put in place a documented quality management system ensuring compliance with this Regulation. || ISO/IEC 42001 -> ISO-012: Internal audits shall be conducted at planned intervals to confirm the AI management system conforms to requirements and is effectively implemented. || ISO/IEC 42001 -> ISO-013: Top management shall review the AI management system at planned intervals to ensure continuing suitability, adequacy, and effectiveness. || ISO/IEC 42001 -> ISO-014: The organisation shall continually improve the suitability, adequacy, and effectiveness of the AI management system. || NIST AI RMF -> NIST-003: Organizational leaders shall take responsibility for decisions about risks associated with AI system development and deployment. || NIST AI RMF -> NIST-005: Organizational policies and practices shall foster a critical thinking and safety-first mindset in the design, development, deployment, and use of AI systems. || NIST AI RMF -> NIST-018: Scientific findings, domain knowledge, and industry best practices shall inform the identification and assessment of AI risks. || NIST AI RMF -> NIST-022: Likelihood and magnitude of each identified AI risk shall be measured or estimated including technical and non-technical sources.",N/A,N/A
Corporate Oversight,Executive Commitment,ISO/IEC 42001 | NIST AI RMF,"ISO/IEC 42001 -> ISO-001: The organisation shall establish, implement, maintain, and continually improve an AI management system. || ISO/IEC 42001 -> ISO-002: Top management shall demonstrate leadership and commitment by ensuring AI policy and AI objectives are established. || ISO/IEC 42001 -> ISO-003: The organisation shall establish an AI policy appropriate to its purpose providing a framework for setting AI objectives. || ISO/IEC 42001 -> ISO-013: Top management shall review the AI management system at planned intervals to ensure continuing suitability, adequacy, and effectiveness. || NIST AI RMF -> NIST-001: Organizations shall establish policies, processes, procedures, and practices across the organization related to the mapping, measuring, and managing of AI risks. || NIST AI RMF -> NIST-002: Organizational teams shall be committed to a culture that considers and communicates AI risk with policies, processes, and practices applied and monitored. || NIST AI RMF -> NIST-003: Organizational leaders shall take responsibility for decisions about risks associated with AI system development and deployment. || NIST AI RMF -> NIST-005: Organizational policies and practices shall foster a critical thinking and safety-first mindset in the design, development, deployment, and use of AI systems.",N/A,N/A
Corporate Oversight,Safety and Security Validation,EU AI Act | NIST AI RMF | NIST GenAI Profile | Washington SB 5827,"EU AI Act -> EU-005: High-risk AI systems shall be tested to identify the most appropriate risk management measures, ensuring consistent performance for their intended purpose. || NIST AI RMF -> NIST-015: Policies shall be in place to address how AI systems are tested, evaluated, verified, and validated before being deployed. || NIST AI RMF -> NIST-021: AI systems shall be tested regularly to assess performance including for bias, fairness, robustness, and explainability characteristics. || NIST AI RMF -> NIST-023: AI system performance shall be evaluated against intended use requirements including performance metrics, uncertainty analysis, and calibration. || NIST AI RMF -> NIST-025: AI system security, resilience, and robustness shall be evaluated and documented including against adversarial attacks and unintended interactions. || NIST GenAI Profile -> NIST-G06: Organizations shall implement controls to prevent, detect, and respond to prompt injection attacks against generative AI systems. || Washington SB 5827 -> WA-001: Covered entities shall take reasonable steps to test automated decision systems for algorithmic discrimination before deployment and periodically thereafter.",N/A,N/A
Corporate Oversight,Stakeholder Engagement,EU AI Act | ISO/IEC 42001 | NIST AI RMF,"EU AI Act -> EU-029: Deployers shall conduct a fundamental rights impact assessment prior to deploying a high-risk AI system. || ISO/IEC 42001 -> ISO-006: The organisation shall carry out an AI system impact assessment identifying potential impacts on individuals and society from the AI system. || NIST AI RMF -> NIST-002: Organizational teams shall be committed to a culture that considers and communicates AI risk with policies, processes, and practices applied and monitored. || NIST AI RMF -> NIST-010: Organizational teams shall be committed to developing processes enabling staff to raise AI risk concerns without fear of retaliation. || NIST AI RMF -> NIST-013: Organizational teams shall be committed to diversity, equity, inclusion, and accessibility in AI processes and outcomes. || NIST AI RMF -> NIST-019: Practices and personnel for regular engagement with relevant AI actors shall be in place to identify, evaluate, and manage AI risks and impacts. || NIST AI RMF -> NIST-030: Risk treatment decisions shall be documented and impacts on stakeholders communicated across the AI lifecycle.",N/A,N/A
Corporate Oversight,Strategic Alignment,ISO/IEC 42001 | NIST AI RMF,"ISO/IEC 42001 -> ISO-002: Top management shall demonstrate leadership and commitment by ensuring AI policy and AI objectives are established. || ISO/IEC 42001 -> ISO-003: The organisation shall establish an AI policy appropriate to its purpose providing a framework for setting AI objectives. || ISO/IEC 42001 -> ISO-008: The organisation shall plan how to achieve AI objectives including resources required and how results will be evaluated. || NIST AI RMF -> NIST-002: Organizational teams shall be committed to a culture that considers and communicates AI risk with policies, processes, and practices applied and monitored. || NIST AI RMF -> NIST-004: Organizational teams shall document risks and potential impacts of AI technologies and establish, communicate, and monitor risk appetite and tolerance. || NIST AI RMF -> NIST-008: AI risk management shall be integrated into broader enterprise risk management processes and informed by organizational risk management policies. || NIST AI RMF -> NIST-009: The risk tolerance of the organization and AI systems shall be established, communicated, and updated throughout the AI lifecycle.",N/A,N/A
Corporate Oversight,Independent Catastrophic Risk Evaluation,NIST GenAI Profile | NY RAISE Act,"NIST GenAI Profile -> NIST-G03: Organizations shall assess and mitigate risks of generative AI producing content enabling development of chemical, biological, radiological, or nuclear weapons. || NY RAISE Act -> NY-001: Developers and deployers of covered AI systems shall conduct a safety impact assessment for any AI system with potential for catastrophic or critical harm.",N/A,N/A
Corporate Oversight,AI Safety Whistleblower Protections,NIST AI RMF,NIST AI RMF -> NIST-010: Organizational teams shall be committed to developing processes enabling staff to raise AI risk concerns without fear of retaliation.,N/A,N/A
